total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,date
232090,4998,0.0,0.0,0.0,2021-01-30
231539,4972,0.0,0.0,0.0,2021-01-29
230978,4943,0.0,0.0,0.0,2021-01-28
230359,4913,0.0,0.0,0.0,2021-01-27
229502,4882,0.0,0.0,0.0,2021-01-26
229054,4859,0.0,0.0,0.0,2021-01-25
228920,4827,0.0,0.0,0.0,2021-01-24
228568,4799,0.0,0.0,0.0,2021-01-23
227969,4770,0.0,0.0,0.0,2021-01-22
235402,5169,0.0,0.0,0.0,2021-02-07
235126,5144,0.0,0.0,0.0,2021-02-06
234702,5122,0.0,0.0,0.0,2021-02-05
234153,5106,0.0,0.0,0.0,2021-02-04
233637,5088,0.0,0.0,0.0,2021-02-03
232907,5071,0.0,0.0,0.0,2021-02-02
232520,5054,0.0,0.0,0.0,2021-02-01
232426,5027,0.0,0.0,0.0,2021-01-31
237999,5357,0.0,0.0,0.0,2021-02-16
237725,5339,0.0,0.0,0.0,2021-02-15
237657,5318,0.0,0.0,0.0,2021-02-14
237459,5299,0.0,0.0,0.0,2021-02-13
237080,5282,0.0,0.0,0.0,2021-02-12
236709,5263,0.0,0.0,0.0,2021-02-11
236333,5238,0.0,0.0,0.0,2021-02-10
235756,5224,0.0,0.0,0.0,2021-02-09
235473,5198,0.0,0.0,0.0,2021-02-08
240017,5449,0.0,0.0,0.0,2021-02-22
239945,5429,0.0,0.0,0.0,2021-02-21
239685,5420,0.0,0.0,0.0,2021-02-20
239254,5407,0.0,0.0,0.0,2021-02-19
238866,5399,0.0,0.0,0.0,2021-02-18
238501,5375,0.0,0.0,0.0,2021-02-17
242617,5511,0.0,0.0,0.0,2021-02-27
242097,5503,0.0,0.0,0.0,2021-02-26
241592,5489,0.0,0.0,0.0,2021-02-25
241048,5477,0.0,0.0,0.0,2021-02-24
240360,5462,0.0,0.0,0.0,2021-02-23
246514,5590,0.0,0.0,0.0,2021-03-07
246120,5585,0.0,0.0,0.0,2021-03-06
245462,5570,0.0,0.0,0.0,2021-03-05
244872,5564,0.0,0.0,0.0,2021-03-04
244205,5555,0.0,0.0,0.0,2021-03-03
243458,5548,0.0,0.0,0.0,2021-03-02
243064,5537,0.0,0.0,0.0,2021-03-01
242973,5526,0.0,0.0,0.0,2021-02-28
251174,5685,0.0,0.0,0.0,2021-03-15
251045,5677,0.0,0.0,0.0,2021-03-14
250484,5670,0.0,0.0,0.0,2021-03-13
249661,5647,0.0,0.0,0.0,2021-03-12
248838,5635,0.0,0.0,0.0,2021-03-11
248061,5625,0.0,0.0,0.0,2021-03-10
247099,5621,0.0,0.0,0.0,2021-03-09
246608,5609,0.0,0.0,0.0,2021-03-08
258745,5808,0.0,0.0,0.0,2021-03-23
257789,5786,0.0,0.0,0.0,2021-03-22
257639,5773,0.0,0.0,0.0,2021-03-21
256805,5753,0.0,0.0,0.0,2021-03-20
